"CountryRegionName","Education","Occupation","Gender","MaritalStatus","HomeOwnerFlag","NumberCarsOwned","NumberChildrenAtHome","TotalChildren","YearlyIncome","Age"
"Australia","Bachelors","Manual","M","M","1",1,1,2,37205,43
"Australia","Partial College","Management","F","S","1",2,0,0,112092,44
"Australia","Bachelors","Professional","F","S","1",2,0,0,136373,39
"Australia","Bachelors","Management","F","S","1",0,0,0,101932,39
"Australia","Bachelors","Clerical","F","S","0",2,0,0,85828,40
"Australia","Bachelors","Skilled Manual","M","M","1",1,0,2,55670,40
"Australia","Bachelors","Management","F","S","1",2,0,0,103689,40
"Australia","Bachelors","Skilled Manual","M","S","0",2,0,0,53054,40
"Australia","Bachelors","Management","F","M","1",2,1,2,102329,45
"Australia","Bachelors","Clerical","F","S","0",1,0,0,80780,41
"Australia","Bachelors","Manual","M","S","0",0,0,0,35715,41
"Australia","Partial College","Management","M","M","1",1,0,2,105473,42
"Australia","Partial College","Clerical","F","M","1",1,2,2,77408,43
"Australia","Partial College","Management","F","M","1",1,1,2,110318,42
"Australia","Bachelors","Management","M","M","1",3,0,2,111245,43
"Australia","Partial College","Clerical","F","S","1",0,0,0,77362,42
"Australia","Partial College","Manual","M","M","1",0,2,2,31920,43
"Australia","Partial College","Manual","M","M","1",0,1,1,33344,42
"Australia","Partial College","Clerical","F","M","1",1,0,1,80166,44
"Australia","Partial College","Manual","M","S","0",1,0,0,30879,47
"Australia","Partial College","Skilled Manual","M","S","1",1,1,1,56886,69
"Australia","Bachelors","Clerical","F","S","1",1,0,1,76608,68
"Australia","Partial College","Management","M","M","1",3,1,2,107851,44
"Australia","Partial College","Manual","M","M","1",0,2,2,29770,44
"Australia","Partial College","Manual","M","M","1",1,1,1,32785,44
"Australia","Partial College","Skilled Manual","M","S","1",2,0,0,55034,47
"Australia","Partial College","Clerical","F","S","1",2,0,0,84674,48
"Australia","High School","Skilled Manual","M","M","1",0,1,2,56810,55
"United States","High School","Skilled Manual","F","M","0",1,0,0,51056,29
"United States","High School","Manual","F","M","0",0,0,0,34793,29
"United States","High School","Skilled Manual","F","S","0",0,0,0,60642,29
"United States","High School","Skilled Manual","F","M","0",0,0,0,51713,25
"Canada","High School","Skilled Manual","F","M","0",1,0,0,60249,24
"Canada","High School","Skilled Manual","F","S","0",1,0,0,57914,24
"United States","Partial High School","Skilled Manual","F","S","0",1,0,0,55117,24
"Australia","High School","Manual","M","S","1",1,0,1,35781,58
"United States","Partial High School","Manual","M","S","0",1,0,0,34533,25
"Canada","High School","Skilled Manual","F","S","0",1,0,0,54647,26
"United States","High School","Skilled Manual","F","M","0",2,0,0,51293,26
"United States","High School","Skilled Manual","F","M","0",2,0,0,56960,26
"Australia","Partial College","Skilled Manual","F","S","1",2,1,1,61909,66
"United States","Partial High School","Skilled Manual","M","S","0",1,0,0,52362,28
"United States","High School","Manual","F","M","0",1,0,0,32212,27
"Canada","High School","Manual","M","S","0",0,0,0,33426,27
"United States","High School","Clerical","M","M","0",1,0,0,78930,28
"United States","High School","Skilled Manual","M","S","0",2,0,0,58612,25
"United States","High School","Skilled Manual","F","S","0",1,0,0,56078,25
"Australia","Bachelors","Clerical","F","S","1",3,1,1,84034,65
"Australia","Graduate Degree","Skilled Manual","M","M","1",1,3,3,59210,66
"Australia","Bachelors","Skilled Manual","M","M","1",0,0,3,54705,63
"Australia","Bachelors","Management","M","M","1",2,0,2,111111,63
"Australia","Bachelors","Manual","M","S","1",0,1,1,29057,63
"Australia","Graduate Degree","Skilled Manual","F","S","1",2,1,1,57610,62
"United States","High School","Clerical","M","S","0",1,0,0,77499,29
"United States","High School","Clerical","F","M","0",1,0,0,84594,28
"United States","Partial College","Skilled Manual","F","S","0",1,0,0,58860,28
"United States","Partial College","Skilled Manual","M","S","0",1,0,0,52353,29
"United States","Partial College","Clerical","F","S","0",2,0,0,86005,29
"United States","High School","Manual","F","M","0",1,0,0,35011,29
"United States","High School","Skilled Manual","M","S","0",1,0,0,58278,29
"United States","High School","Skilled Manual","F","S","0",1,0,0,56504,29
"United States","Partial College","Skilled Manual","M","S","0",0,0,0,61053,31
"United States","Partial College","Clerical","F","S","0",2,0,0,87189,30
"United States","Partial College","Skilled Manual","M","S","0",1,0,0,61838,30
"United States","Partial College","Skilled Manual","M","M","0",0,0,0,53805,30
"United States","Partial College","Clerical","M","S","0",0,0,0,79135,30
"United States","Partial College","Skilled Manual","F","M","0",0,0,0,60626,31
"United States","Partial College","Manual","F","S","0",0,0,0,34058,32
"United States","Bachelors","Clerical","F","S","0",1,0,0,81901,32
"United States","Bachelors","Clerical","M","S","0",1,0,0,80402,36
"United States","Bachelors","Skilled Manual","M","M","0",1,0,2,57123,36
"United States","Bachelors","Skilled Manual","F","M","0",1,0,1,55406,37
"United States","Bachelors","Manual","M","S","0",0,0,0,37017,37
"United States","Bachelors","Skilled Manual","F","M","1",0,1,2,54171,37
"United States","Graduate Degree","Clerical","F","S","0",2,0,0,81091,37
"United States","Graduate Degree","Skilled Manual","M","M","1",1,1,2,62806,37
"United States","Partial College","Manual","M","S","0",0,0,0,29627,41
"Canada","Bachelors","Professional","M","M","1",1,1,1,137040,37
"United States","Graduate Degree","Management","M","M","1",3,1,2,103896,62
"United States","Graduate Degree","Professional","M","M","1",1,0,2,131634,61
"United States","Graduate Degree","Skilled Manual","F","M","1",1,1,2,56643,61
"United States","Bachelors","Skilled Manual","F","M","1",2,2,2,55432,62
"United States","Graduate Degree","Clerical","M","M","1",1,1,2,77843,61
"United States","Bachelors","Manual","F","S","1",1,1,1,36469,60
"United States","Bachelors","Management","F","S","1",2,0,1,102701,60
"United States","Bachelors","Management","F","S","1",3,0,1,111036,60
"Canada","Bachelors","Management","F","S","1",3,1,1,108686,60
"United States","Bachelors","Clerical","F","S","1",0,1,1,78681,60
"United States","Graduate Degree","Clerical","F","M","1",2,0,2,87248,61
"United States","Graduate Degree","Skilled Manual","F","M","1",2,0,2,59370,60
"United States","Graduate Degree","Skilled Manual","M","S","1",1,1,1,56051,60
"United States","Bachelors","Skilled Manual","M","M","1",1,1,2,61869,60
"United States","Bachelors","Clerical","F","S","1",1,1,1,79046,59
"United States","Bachelors","Management","M","M","1",1,1,2,105276,59
"United States","Bachelors","Clerical","M","M","1",1,2,2,77587,60
"United States","Bachelors","Manual","F","M","1",1,0,2,28301,59
"United States","Bachelors","Management","F","M","1",2,1,2,102219,59
"United States","Bachelors","Skilled Manual","M","M","1",2,0,2,57883,58
"United States","Bachelors","Clerical","F","M","1",2,1,2,85380,58
"United States","Bachelors","Professional","F","S","1",2,0,1,133499,58
"United States","Bachelors","Skilled Manual","F","M","1",0,0,2,52476,58
"Canada","Bachelors","Clerical","M","M","1",1,0,2,87710,57
"United States","Bachelors","Skilled Manual","F","M","1",2,0,2,61134,57
"United States","Bachelors","Professional","F","M","1",2,1,2,133592,57
"Canada","High School","Skilled Manual","M","M","1",1,0,2,61165,56
"United States","High School","Skilled Manual","F","M","1",2,1,2,60687,56
"United States","High School","Clerical","F","M","1",1,1,2,86277,56
"United States","Partial College","Clerical","M","M","1",0,0,2,87014,56
"United States","Partial College","Skilled Manual","F","S","1",2,0,0,53854,56
"United States","Bachelors","Management","F","M","1",3,0,2,108212,57
"United States","Bachelors","Management","F","M","1",1,1,2,102186,57
"United States","Partial College","Clerical","M","M","1",1,1,2,86322,56
"Canada","High School","Skilled Manual","F","M","1",1,1,2,54237,55
"Canada","High School","Skilled Manual","F","M","1",2,1,2,59741,55
"United States","Partial College","Skilled Manual","F","S","1",0,0,0,55817,55
"United States","Partial College","Manual","M","S","1",0,0,0,34759,55
"Canada","Partial High School","Skilled Manual","F","M","1",1,0,2,60117,54
"United States","Partial College","Clerical","F","S","1",2,0,0,77615,54
"United States","Partial College","Clerical","F","S","1",1,0,0,81038,55
"United States","Partial College","Clerical","F","S","1",2,0,0,84560,54
"United States","Partial College","Manual","F","M","1",1,1,2,29529,55
"United States","Partial College","Skilled Manual","M","M","1",0,0,2,55446,54
"United States","Bachelors","Skilled Manual","F","M","1",2,0,2,59088,54
"Canada","High School","Skilled Manual","F","S","1",2,0,0,56364,53
"United States","High School","Manual","F","S","1",0,0,0,27709,53
"United States","Partial College","Clerical","F","M","1",3,0,2,82205,54
"United States","Partial College","Management","F","M","1",1,1,1,108050,53
"United States","Partial College","Manual","M","S","1",0,0,0,27973,53
"United States","Partial College","Skilled Manual","F","M","1",1,0,2,53643,53
"United States","Partial College","Manual","M","S","1",1,0,0,34919,53
"United States","Partial College","Skilled Manual","F","M","1",1,0,2,60238,53
"United States","High School","Manual","M","M","1",0,0,2,29527,52
"United States","High School","Clerical","F","M","1",1,1,2,86612,52
"United States","Partial College","Clerical","M","M","1",3,1,1,86999,52
"United States","Partial College","Skilled Manual","F","S","1",1,0,0,59532,52
"United States","Partial College","Skilled Manual","M","M","1",2,0,2,59020,53
"United States","Partial College","Skilled Manual","M","S","1",0,0,0,61919,52
"Germany","Bachelors","Professional","M","S","1",3,0,0,133665,46
"United Kingdom","Bachelors","Clerical","F","S","1",2,0,0,83331,46
"United Kingdom","Partial College","Clerical","F","M","1",1,0,2,78167,46
"United Kingdom","Partial College","Manual","F","M","1",1,1,1,30449,46
"France","Partial College","Skilled Manual","M","M","1",1,0,2,61092,47
"United Kingdom","Partial College","Clerical","F","M","1",1,0,2,76821,47
"United Kingdom","Bachelors","Management","F","S","1",1,0,0,106712,47
"Germany","High School","Skilled Manual","M","M","1",1,1,2,53586,48
"Germany","High School","Clerical","F","M","1",3,1,1,86764,48
"United Kingdom","Partial College","Skilled Manual","F","S","1",2,0,0,59176,48
"France","Partial College","Management","M","M","1",3,1,2,105498,49
"Germany","Partial College","Skilled Manual","F","M","1",1,1,2,55467,49
"United Kingdom","High School","Skilled Manual","F","M","1",1,0,1,60408,49
"Canada","High School","Manual","M","S","1",1,0,1,29646,72
"United States","Graduate Degree","Clerical","M","S","1",1,0,1,77260,72
"Canada","Graduate Degree","Skilled Manual","M","M","1",2,0,3,53142,71
"United States","Graduate Degree","Management","M","M","1",3,1,2,110162,71
"United States","Graduate Degree","Management","M","M","1",1,1,2,104574,71
"United States","Graduate Degree","Professional","F","M","1",3,1,2,131675,71
"United States","Graduate Degree","Skilled Manual","F","S","1",2,0,1,52240,72
"United States","Graduate Degree","Professional","M","M","1",0,0,2,134695,71
"United States","Partial College","Manual","F","M","0",0,1,1,27006,39
"United States","Bachelors","Management","F","M","1",3,0,0,105983,39
"United States","Graduate Degree","Clerical","F","M","1",0,0,1,80389,39
"Canada","Bachelors","Management","F","M","1",2,0,0,105478,40
"United States","Partial College","Skilled Manual","F","M","1",1,0,1,60874,40
"United States","Partial College","Clerical","M","S","0",3,0,0,79255,40
"United States","Partial College","Clerical","F","M","1",2,1,2,84375,40
"United States","Partial College","Manual","F","S","0",1,0,0,28164,40
"United States","Partial College","Management","M","S","1",2,0,0,104261,40
"United States","Graduate Degree","Management","F","M","1",2,1,2,102436,40
"United States","Graduate Degree","Skilled Manual","M","M","1",2,1,1,59056,40
"United States","Graduate Degree","Professional","M","M","1",1,1,1,132986,40
"United States","Bachelors","Skilled Manual","F","S","0",1,0,0,55964,40
"United States","Partial College","Manual","F","S","0",0,0,0,26039,48
"United States","Partial College","Skilled Manual","M","M","1",1,0,1,59819,48
"United States","Graduate Degree","Clerical","M","M","1",0,1,2,79707,70
"United States","Graduate Degree","Management","F","M","1",2,1,2,109543,71
"Canada","Partial College","Skilled Manual","F","M","1",0,1,1,56925,41
"Canada","Partial College","Skilled Manual","M","M","1",1,0,1,58673,41
"United States","Partial College","Clerical","M","S","0",2,0,0,83821,41
"United States","Partial College","Skilled Manual","F","M","1",1,0,1,54765,41
"United States","Partial College","Skilled Manual","M","M","1",1,1,2,60268,41
"United States","Bachelors","Professional","F","S","1",1,0,0,134538,41
"United States","Partial College","Manual","M","M","1",1,1,1,26427,43
"United States","Bachelors","Management","M","M","1",0,1,2,112486,42
"United States","Bachelors","Skilled Manual","F","M","1",1,0,2,54474,42
"United States","Partial College","Clerical","M","M","1",1,0,2,77476,42
"United States","Graduate Degree","Management","M","M","1",2,0,0,105769,42
"Canada","Partial College","Skilled Manual","M","M","1",2,0,1,57863,44
"United States","Bachelors","Clerical","F","M","1",2,1,1,86717,43
"United States","Bachelors","Manual","F","M","1",0,1,2,25975,43
"United States","Bachelors","Skilled Manual","F","M","1",1,0,2,51413,43
"United States","Bachelors","Management","F","M","1",1,0,1,109121,43
"United States","Partial College","Clerical","M","S","1",1,0,0,86108,43
"United States","High School","Skilled Manual","M","S","1",2,0,0,60016,49
"United States","High School","Clerical","M","M","1",0,2,2,77362,49
"United States","Partial High School","Skilled Manual","F","S","1",2,0,0,57153,50
"United States","Graduate Degree","Professional","F","S","1",0,0,1,134033,69
"United States","Graduate Degree","Management","M","S","1",1,0,1,106973,70
"United States","Graduate Degree","Professional","M","M","1",2,0,2,130726,69
"United States","Graduate Degree","Clerical","M","M","1",0,1,2,78852,68
"Canada","Partial College","Clerical","M","M","1",0,0,2,82331,44
"United States","Partial College","Clerical","M","M","1",3,0,1,86755,44
"United States","High School","Clerical","M","S","1",1,0,0,81690,44
"United States","High School","Manual","F","S","0",0,0,0,27349,44
"United States","Partial College","Clerical","F","M","1",0,1,2,76468,44
"United States","Partial College","Skilled Manual","M","M","1",2,0,2,61414,44
"United States","Partial College","Clerical","M","M","1",2,1,2,85135,44
"United States","Partial High School","Manual","M","M","1",0,0,2,31059,50
"United States","High School","Clerical","M","M","1",2,1,2,85650,50
"United States","High School","Skilled Manual","F","S","1",0,0,0,57730,50
"United States","Graduate Degree","Clerical","F","S","1",0,0,0,81516,51
"United States","Graduate Degree","Clerical","F","S","1",1,0,0,82481,51
"United States","Graduate Degree","Clerical","F","S","1",0,0,0,79421,51
"United States","Graduate Degree","Professional","M","S","1",2,0,0,135064,51
"United States","Graduate Degree","Clerical","F","S","1",1,0,0,82883,51
"United States","Graduate Degree","Skilled Manual","F","S","1",2,0,0,58157,51
"Canada","Graduate Degree","Management","M","M","1",1,1,2,107577,51
"United States","Partial College","Skilled Manual","F","S","1",1,0,0,55516,52
"United States","Partial College","Clerical","F","S","1",2,0,0,78647,52
"United States","Graduate Degree","Manual","F","M","1",1,0,3,26679,67
"United States","Graduate Degree","Professional","F","M","1",2,3,3,132795,67
"United States","Bachelors","Skilled Manual","M","M","1",2,0,2,52068,66
"United States","Bachelors","Clerical","F","M","1",1,1,2,77732,66
"United States","Graduate Degree","Skilled Manual","M","S","1",1,1,1,55779,66
"United States","Bachelors","Manual","M","M","1",1,0,2,30059,65
"United States","Bachelors","Clerical","M","S","1",3,0,1,87943,65
"United States","Bachelors","Professional","M","M","1",2,2,2,129339,65
"United States","Bachelors","Professional","M","M","1",3,0,2,138059,64
"Canada","Bachelors","Manual","M","M","1",0,0,2,28974,65
"United States","Bachelors","Skilled Manual","M","S","1",1,1,1,51682,64
"Canada","Graduate Degree","Management","M","M","1",2,0,2,109467,64
"Canada","Partial College","Clerical","F","M","1",1,0,1,77135,36
"Germany","Graduate Degree","Skilled Manual","F","S","0",1,0,0,51067,42
"United Kingdom","Graduate Degree","Management","F","M","1",2,0,2,105639,42
"United Kingdom","Bachelors","Management","F","M","1",2,1,2,102920,43
"Germany","Bachelors","Skilled Manual","F","M","1",0,0,2,61807,43
"France","Graduate Degree","Professional","M","M","1",2,0,2,137384,42
"United Kingdom","Bachelors","Skilled Manual","M","M","1",1,0,1,59042,43
"Germany","Graduate Degree","Management","M","M","1",2,0,2,106850,43
"France","Graduate Degree","Professional","M","S","1",2,0,0,136927,43
"France","Graduate Degree","Manual","F","M","1",0,1,2,32989,68
"United Kingdom","Graduate Degree","Clerical","M","M","1",1,3,3,86049,68
"France","Graduate Degree","Clerical","M","M","1",2,0,1,82580,42
"United Kingdom","Bachelors","Manual","M","M","1",1,1,2,28280,46
"United Kingdom","Partial College","Clerical","F","M","1",2,1,2,86967,47
"France","Partial College","Management","F","S","1",3,0,0,106648,47
"France","Partial College","Skilled Manual","F","S","1",1,0,0,54394,49
"Germany","Partial College","Skilled Manual","M","M","1",2,0,1,53207,49
"Germany","Partial College","Clerical","M","M","1",2,1,1,84193,49
"Germany","Partial College","Clerical","F","M","1",0,0,2,84967,50
"United Kingdom","Graduate Degree","Management","F","M","1",2,0,2,105858,68
"United Kingdom","Bachelors","Professional","F","S","1",1,1,1,127625,65
"United Kingdom","Bachelors","Management","F","S","1",1,1,1,108959,63
"Germany","Partial College","Skilled Manual","F","M","1",1,0,3,54054,63
"United Kingdom","Graduate Degree","Management","M","M","1",0,1,2,106870,62
"Australia","Partial College","Manual","M","S","0",0,0,0,36008,24
"Australia","Partial College","Management","M","S","0",1,0,0,108208,25
"Australia","Partial College","Management","F","S","0",3,0,0,109789,26
"Australia","Partial College","Manual","M","S","0",1,0,0,28170,26
"Australia","Partial College","Clerical","M","S","0",2,0,0,81443,26
"Australia","High School","Clerical","F","M","0",3,0,0,86646,27
"Australia","High School","Skilled Manual","M","M","0",1,0,0,61229,27
"Australia","High School","Manual","M","S","0",1,0,0,33638,27
"Australia","High School","Skilled Manual","F","S","0",0,0,0,54475,25
"Australia","High School","Clerical","F","S","0",0,0,0,80587,25
"Australia","Bachelors","Manual","F","M","0",1,0,0,36202,25
"Australia","Bachelors","Skilled Manual","M","M","0",0,0,0,62558,26
"Australia","High School","Manual","M","S","0",1,0,0,34629,26
"Australia","Bachelors","Professional","F","M","1",1,0,0,133977,26
"Australia","Bachelors","Management","F","M","0",2,0,0,108306,26
"Australia","Bachelors","Clerical","F","M","0",2,0,0,79626,26
"Australia","Bachelors","Management","F","S","0",1,0,0,103184,26
"Germany","Bachelors","Skilled Manual","F","M","1",0,1,3,58472,61
"Germany","Bachelors","Management","M","S","1",0,1,1,107586,61
"United Kingdom","Bachelors","Skilled Manual","M","M","1",1,1,2,61019,61
"United Kingdom","Graduate Degree","Management","M","S","1",3,1,1,108108,61
"Germany","Graduate Degree","Management","M","M","1",2,2,2,105489,44
"France","High School","Clerical","F","S","1",3,0,0,85604,44
"France","High School","Clerical","M","M","1",1,0,1,83351,45
"Germany","Partial College","Manual","M","S","0",1,0,0,32840,45
"United Kingdom","Partial College","Skilled Manual","F","M","1",1,1,2,56266,45
"France","Partial College","Management","M","M","1",3,1,2,111420,47
"France","Graduate Degree","Skilled Manual","F","M","1",1,0,1,55698,44
"France","Bachelors","Manual","F","M","1",0,1,1,32641,44
"United Kingdom","Bachelors","Clerical","M","S","1",0,0,0,82030,44
"Germany","Bachelors","Manual","F","M","1",1,0,1,27933,44
"United Kingdom","Graduate Degree","Professional","F","S","1",3,0,0,133128,45
"United Kingdom","Graduate Degree","Manual","M","M","1",1,0,2,26814,45
"Germany","High School","Manual","M","S","0",0,0,0,30269,34
"France","High School","Clerical","F","S","0",2,0,0,80138,34
"Germany","High School","Clerical","F","S","0",3,0,0,85018,34
"Germany","High School","Clerical","M","S","0",0,0,0,82255,35
"France","High School","Clerical","M","S","0",3,0,0,84678,36
"United Kingdom","High School","Skilled Manual","M","S","0",0,0,0,58523,35
"Germany","Bachelors","Skilled Manual","F","S","0",1,0,0,60748,34
"Germany","High School","Skilled Manual","M","M","0",1,1,1,60331,35
"France","Partial College","Clerical","F","S","0",1,0,0,84530,35
"United Kingdom","Bachelors","Manual","M","S","0",1,0,0,29839,35
"France","Bachelors","Clerical","F","S","0",1,0,0,82147,35
"United Kingdom","Graduate Degree","Skilled Manual","M","S","0",1,0,0,56868,35
"France","Graduate Degree","Manual","F","M","0",0,1,2,29960,35
"France","Graduate Degree","Skilled Manual","F","M","0",0,0,2,52525,35
"France","Graduate Degree","Clerical","F","S","0",2,0,0,84400,36
"Germany","Partial College","Management","F","S","1",2,0,0,112350,53
"Germany","Partial College","Clerical","F","S","1",0,0,0,79133,53
"France","Partial College","Management","F","M","1",1,1,2,102150,52
"Germany","Partial College","Clerical","M","M","1",2,1,2,78168,52
"United Kingdom","High School","Skilled Manual","M","M","1",1,1,2,56413,51
"France","High School","Skilled Manual","F","S","0",0,0,0,55271,36
"France","Partial College","Skilled Manual","M","M","0",2,2,2,55476,36
"Germany","Partial College","Clerical","M","M","1",2,1,2,87167,51
"Germany","Partial College","Management","F","S","1",2,0,0,103566,50
"United Kingdom","Partial College","Skilled Manual","F","M","1",0,0,2,52180,50
"United Kingdom","Partial College","Manual","M","S","0",1,0,0,26502,50
"Germany","Partial College","Skilled Manual","M","S","1",2,0,1,56405,60
"France","Partial High School","Skilled Manual","F","M","1",2,0,2,53744,59
"France","High School","Manual","F","M","1",0,1,2,35885,59
"Germany","Partial College","Skilled Manual","M","S","1",1,1,1,56699,60
"United Kingdom","Graduate Degree","Clerical","M","M","1",2,0,2,79442,60
"France","Bachelors","Clerical","M","M","1",2,2,2,79396,58
"Germany","Bachelors","Professional","F","M","1",1,0,2,133681,58
"United Kingdom","Bachelors","Management","M","M","1",2,1,2,112253,58
"Germany","Partial College","Management","F","M","1",0,1,1,103162,50
"Germany","Partial College","Management","F","M","1",1,0,2,105011,51
"France","High School","Clerical","F","M","1",1,1,1,80503,50
"Germany","Bachelors","Management","M","M","1",1,1,2,107082,51
"Germany","Partial College","Clerical","F","M","1",1,1,2,80114,51
"Germany","Bachelors","Manual","F","S","0",1,0,0,30656,51
